Address,Point,Name,Value,Time
33,0,50A CT5 Makeup,2095291.0,2019-07-29 17:25:11
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 17:25:11
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 17:25:11
33,3,50A CT5 Makeup Min,2.14,2019-07-29 17:25:11
33,4,50A CT5 Makeup Max,2.5,2019-07-29 17:25:11
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:25:11
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:25:11
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:25:11
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:25:11
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:25:11
33,0,50A CT5 Makeup,2095307.0,2019-07-29 17:31:53
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 17:31:53
33,2,50A CT5 Makeup Instantaneous,2.5,2019-07-29 17:31:53
33,3,50A CT5 Makeup Min,2.22,2019-07-29 17:31:53
33,4,50A CT5 Makeup Max,2.5,2019-07-29 17:31:53
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:31:53
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:31:53
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:31:53
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:31:53
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:31:53
33,0,50A CT5 Makeup,2095315.0,2019-07-29 17:35:17
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 17:35:17
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 17:35:17
33,3,50A CT5 Makeup Min,2.31,2019-07-29 17:35:17
33,4,50A CT5 Makeup Max,2.5,2019-07-29 17:35:17
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:35:17
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:35:17
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:35:17
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:35:17
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:35:17
33,0,50A CT5 Makeup,2095327.0,2019-07-29 17:40:20
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 17:40:20
33,2,50A CT5 Makeup Instantaneous,2.5,2019-07-29 17:40:20
33,3,50A CT5 Makeup Min,2.27,2019-07-29 17:40:20
33,4,50A CT5 Makeup Max,2.6,2019-07-29 17:40:20
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:40:20
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:40:20
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:40:20
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:40:20
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:40:20
33,0,50A CT5 Makeup,2095342.0,2019-07-29 17:46:21
33,1,50A CT5 Makeup Rate,2.5,2019-07-29 17:46:21
33,2,50A CT5 Makeup Instantaneous,2.4,2019-07-29 17:46:21
33,3,50A CT5 Makeup Min,2.31,2019-07-29 17:46:21
33,4,50A CT5 Makeup Max,2.6,2019-07-29 17:46:21
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:46:21
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:46:21
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:46:21
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:46:21
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:46:21
33,0,50A CT5 Makeup,2095351.0,2019-07-29 17:50:13
33,1,50A CT5 Makeup Rate,2.3,2019-07-29 17:50:13
33,2,50A CT5 Makeup Instantaneous,2.2,2019-07-29 17:50:13
33,3,50A CT5 Makeup Min,2.22,2019-07-29 17:50:13
33,4,50A CT5 Makeup Max,2.6,2019-07-29 17:50:13
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:50:13
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:50:13
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:50:13
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:50:13
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:50:13
33,0,50A CT5 Makeup,2095362.0,2019-07-29 17:55:11
33,1,50A CT5 Makeup Rate,2.2,2019-07-29 17:55:11
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 17:55:11
33,3,50A CT5 Makeup Min,2.19,2019-07-29 17:55:11
33,4,50A CT5 Makeup Max,2.4,2019-07-29 17:55:11
33,5,50A CT6 Makeup,87126.0,2019-07-29 17:55:11
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 17:55:11
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 17:55:11
33,8,50A CT6 Makeup Min,0.0,2019-07-29 17:55:11
33,9,50A CT6 Makeup Max,0.0,2019-07-29 17:55:11
33,0,50A CT5 Makeup,2095374.0,2019-07-29 18:00:14
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 18:00:14
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 18:00:14
33,3,50A CT5 Makeup Min,2.31,2019-07-29 18:00:14
33,4,50A CT5 Makeup Max,2.6,2019-07-29 18:00:14
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:00:14
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:00:14
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:00:14
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:00:14
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:00:14
33,0,50A CT5 Makeup,2095387.0,2019-07-29 18:05:21
33,1,50A CT5 Makeup Rate,2.5,2019-07-29 18:05:21
33,2,50A CT5 Makeup Instantaneous,2.4,2019-07-29 18:05:21
33,3,50A CT5 Makeup Min,2.34,2019-07-29 18:05:21
33,4,50A CT5 Makeup Max,2.7,2019-07-29 18:05:21
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:05:21
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:05:21
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:05:21
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:05:21
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:05:21
33,0,50A CT5 Makeup,2095400.0,2019-07-29 18:10:18
33,1,50A CT5 Makeup Rate,2.6,2019-07-29 18:10:18
33,2,50A CT5 Makeup Instantaneous,2.7,2019-07-29 18:10:18
33,3,50A CT5 Makeup Min,2.29,2019-07-29 18:10:18
33,4,50A CT5 Makeup Max,2.7,2019-07-29 18:10:18
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:10:18
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:10:18
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:10:18
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:10:18
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:10:18
33,0,50A CT5 Makeup,2095416.0,2019-07-29 18:17:10
33,1,50A CT5 Makeup Rate,2.3,2019-07-29 18:17:10
33,2,50A CT5 Makeup Instantaneous,2.4,2019-07-29 18:17:10
33,3,50A CT5 Makeup Min,2.36,2019-07-29 18:17:10
33,4,50A CT5 Makeup Max,2.6,2019-07-29 18:17:10
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:17:10
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:17:10
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:17:10
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:17:10
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:17:10
33,0,50A CT5 Makeup,2095431.0,2019-07-29 18:23:30
33,1,50A CT5 Makeup Rate,2.4,2019-07-29 18:23:30
33,2,50A CT5 Makeup Instantaneous,2.2,2019-07-29 18:23:30
33,3,50A CT5 Makeup Min,2.17,2019-07-29 18:23:30
33,4,50A CT5 Makeup Max,2.6,2019-07-29 18:23:30
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:23:30
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:23:30
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:23:30
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:23:30
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:23:30
33,0,50A CT5 Makeup,2095435.0,2019-07-29 18:25:14
33,1,50A CT5 Makeup Rate,2.3,2019-07-29 18:25:14
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 18:25:14
33,3,50A CT5 Makeup Min,2.13,2019-07-29 18:25:14
33,4,50A CT5 Makeup Max,2.3,2019-07-29 18:25:14
33,5,50A CT6 Makeup,87126.0,2019-07-29 18:25:14
33,6,50A CT6 Makeup Rate,0.0,2019-07-29 18:25:14
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-29 18:25:14
33,8,50A CT6 Makeup Min,0.0,2019-07-29 18:25:14
33,9,50A CT6 Makeup Max,0.0,2019-07-29 18:25:14
33,0,50A CT5 Makeup,2095456.0,2019-07-29 18:33:34
33,1,50A CT5 Makeup Rate,2.5,2019-07-29 18:33:34
33,2,50A CT5 Makeup Instantaneous,2.3,2019-07-29 18:33:34
