index,24,25,28,29,30,31,32,33,34,36,37,40,41,42,43,44,48,49
24,100%,NaN,1%,5%,7%,NaN,10%,3%,6%,4%,NaN,2%,8%,24%,11%,6%,16%,1%
25,1%,NaN,NaN,18%,4%,NaN,13%,6%,6%,5%,NaN,15%,6%,5%,6%,4%,7%,4%
28,1%,NaN,100%,3%,4%,NaN,13%,6%,6%,4%,NaN,2%,1%,5%,6%,4%,7%,4%
29,11%,NaN,3%,100%,22%,NaN,62%,9%,20%,1%,NaN,47%,7%,1%,19%,31%,1%,1%
30,9%,NaN,0%,25%,100%,NaN,55%,10%,30%,27%,NaN,11%,24%,1%,8%,30%,1%,1%
31,9%,NaN,4%,25%,NaN,NaN,55%,35%,30%,27%,NaN,11%,24%,25%,31%,30%,35%,21%
32,12%,NaN,1%,48%,54%,NaN,100%,68%,57%,50%,NaN,3%,54%,47%,58%,54%,65%,39%
33,9%,NaN,5%,7%,10%,NaN,67%,100%,10%,2%,NaN,14%,15%,1%,5%,16%,1%,1%
34,10%,NaN,4%,26%,27%,NaN,56%,8%,100%,26%,NaN,1%,21%,2%,16%,34%,35%,1%
36,8%,NaN,4%,1%,1%,NaN,50%,2%,1%,100%,NaN,10%,1%,7%,35%,1%,1%,1%
37,8%,NaN,4%,22%,27%,NaN,50%,29%,27%,NaN,NaN,10%,28%,23%,35%,27%,32%,19%
40,4%,NaN,1%,49%,1%,NaN,1%,1%,1%,13%,NaN,100%,1%,12%,1%,1%,17%,10%
41,8%,NaN,4%,12%,15%,NaN,40%,11%,21%,24%,NaN,1%,100%,1%,32%,22%,28%,1%
42,40%,NaN,5%,1%,2%,NaN,38%,3%,1%,8%,NaN,7%,1%,100%,44%,1%,50%,56%
43,15%,NaN,4%,15%,12%,NaN,57%,14%,26%,26%,NaN,1%,33%,37%,100%,12%,8%,20%
44,8%,NaN,1%,36%,38%,NaN,50%,23%,34%,1%,NaN,1%,25%,1%,11%,100%,29%,1%
48,3%,NaN,6%,29%,1%,NaN,65%,1%,1%,1%,NaN,14%,1%,56%,8%,33%,100%,58%
49,25%,NaN,3%,18%,1%,NaN,45%,1%,1%,1%,NaN,9%,1%,58%,27%,1%,50%,100%
