Facility,Building 33,Building 34,Building 34,Building 50,Building 50,Building 50,Building 50,Building 50,Building 50,Building 50,Building 50,Building 62,Building 62,Building 62,Building 66,Building 70,Building 70A,Building 71,Building 71,Building 71,Building 76,Building 88,Building 88,Building 88
Meter name,33 Gas,34-CT-1 Makeup,34-CT-2 Makeup,50 East Side Gas,50 West Side Gas,50A-CT-5 Makeup,50A-CT-6 Makeup,50B-CT-4 Makeup,50B-CT-4_5 Drain Flow,50B-CT-4_5 Makeup f/50,50B-CT-5 Makeup,62 Gas,"62-CT-1,2 Blowdown","62-CT-1,2 Makeup",66 Gas,B70 Gas,B70A Gas,71 Gas,71-CT-4 Blowdown,71-CT-4 Makeup,76 Gas,88 Gas,88-CT-2 Blowdown,88-CT-2 Makeup
Meter id,lbnl_building33_gas_submeter_gas12700,lbnl_building34_water_submeter_34ct1makeup,lbnl_building34_water_submeter_34ct2makeup,lbnl_building50_gas_submeter_gas6900,lbnl_building50_gas_submeter_gas8030,lbnl_building50_water_submeter_50act5makeup,lbnl_building50_water_submeter_50act6makeup,lbnl_building50_water_submeter_50bct4makeup,lbnl_building50_water_submeter_50bctblowdown,lbnl_building50_water_submeter_50bctmakeupfrom50,lbnl_building50_water_submeter_50bct5makeup,lbnl_building62_gas_wholebuilding_62gas,lbnl_building62_water_submeter_62ct12blowdown,lbnl_building62_water_submeter_62ct12makeup,lbnl_building66_gas_submeter_gas1300,lbnl_building70_gas_submeter_gas6700,lbnl_building70a_gas_submeter_gas6800,lbnl_building71_gas_submeter_gas1460,lbnl_building71_water_submeter_ctblowdown,lbnl_building71_water_submeter_ctmakeup,lbnl_building76_gas_submeter_gas2150,lbnl_building88_gas_submeter_8100gas,lbnl_building88_water_submeter_88ct2blowdown,lbnl_building88_water_submeter_88ct2makeup

Timestamp,Building 33 - 33 Gas (raw),Building 34 - 34-CT-1 Makeup (raw),Building 34 - 34-CT-2 Makeup (raw),Building 50 - 50 East Side Gas (raw),Building 50 - 50 West Side Gas (raw),Building 50 - 50A-CT-5 Makeup (raw),Building 50 - 50A-CT-6 Makeup (raw),Building 50 - 50B-CT-4 Makeup (raw),Building 50 - 50B-CT-4_5 Drain Flow (raw),Building 50 - 50B-CT-4_5 Makeup f/50 (raw),Building 50 - 50B-CT-5 Makeup (raw),Building 62 - 62 Gas (raw),"Building 62 - 62-CT-1,2 Blowdown (raw)","Building 62 - 62-CT-1,2 Makeup (raw)",Building 66 - 66 Gas (raw),Building 70 - B70 Gas (raw),Building 70A - B70A Gas (raw),Building 71 - 71 Gas (raw),Building 71 - 71-CT-4 Blowdown (raw),Building 71 - 71-CT-4 Makeup (raw),Building 76 - 76 Gas (raw),Building 88 - 88 Gas (raw),Building 88 - 88-CT-2 Blowdown (raw),Building 88 - 88-CT-2 Makeup (raw)
2019-06-24 07:35,10425990.0,,,12280900.0,20920940.0,1977652.0,86987.0,15460.0,217370.0,143980.0,9806810.0,1283880.0,122410.0,3051041.0,,4836204.7,23480.0,514750.0,152520.0,2215740.0,344790.0,4153860.0,438762.0,4197098.0
2019-06-24 07:37,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 07:40,10426020.0,,,12281000.0,20920980.0,1977661.0,86987.0,15460.0,217370.0,143980.0,9806830.0,,122410.0,3051109.0,1671470.0,4836204.7,23480.0,514750.0,152520.0,2215740.0,344790.0,4153940.0,438762.0,4197098.0
2019-06-24 07:43,,,,,,,,,,,,1283890.0,,,,,,,,,,,,
2019-06-24 07:49,10426070.0,,,12281000.0,20921020.0,1977676.0,86987.0,15460.0,217370.0,143980.0,9806870.0,,122410.0,3051236.0,1671470.0,4836204.7,23480.0,514750.0,152520.0,2215740.0,,4154000.0,438762.0,4197098.0
2019-06-24 07:52,,,,,,,,,,,,1283890.0,,,,,,,,,344790.0,,,
2019-06-24 07:55,,,,12281100.0,20921060.0,1977687.0,86987.0,15460.0,217370.0,143980.0,9806890.0,1283890.0,122410.0,3051324.0,,4836204.7,23480.0,,152520.0,2215750.0,,,,
2019-06-24 07:56,10426110.0,,,,,,,,,,,,,,,,,514750.0,,,344790.0,4154040.0,438762.0,4197098.0
2019-06-24 07:58,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:00,10426130.0,,,12281100.0,20921100.0,1977696.0,86987.0,15460.0,217370.0,143980.0,9806910.0,1283890.0,122410.0,3051390.0,,4836204.7,23480.0,514750.0,152520.0,2215760.0,344790.0,4154070.0,,
2019-06-24 08:02,,,,,,,,,,,,,,,,,,,,,,,438762.0,4197098.0
2019-06-24 08:03,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:05,10426150.0,,,12281200.0,20921110.0,1977705.0,86987.0,15460.0,217370.0,143980.0,9806930.0,,122410.0,3051463.0,,4836204.7,23480.0,514750.0,152520.0,2215760.0,344790.0,4154090.0,438762.0,4197098.0
2019-06-24 08:08,,,,,,,,,,,,1283900.0,,,,,,,,,,,,
2019-06-24 08:10,10426180.0,,,12281200.0,20921140.0,1977713.0,86987.0,,,,,,122410.0,3051531.0,,4836204.7,23480.0,514760.0,152520.0,2215760.0,344790.0,4154120.0,438762.0,4197098.0
2019-06-24 08:12,,,,,,,,15460.0,217370.0,143980.0,9806960.0,1283900.0,,,,,,,,,,,,
2019-06-24 08:13,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:15,10426210.0,,,12281200.0,20921180.0,1977721.0,86987.0,15460.0,217370.0,143980.0,9806970.0,,122410.0,3051600.0,1671470.0,,,514760.0,152520.0,2215770.0,344800.0,4154150.0,438762.0,4197098.0
2019-06-24 08:18,,,,,,,,,,,,1283900.0,,,,4836204.7,23480.0,,,,,,,
2019-06-24 08:20,10426230.0,,,12281300.0,20921180.0,1977730.0,86987.0,15460.0,217370.0,143980.0,9807000.0,1283900.0,122410.0,3051671.0,1671470.0,4836204.7,23480.0,514760.0,152520.0,2215780.0,344800.0,4154190.0,438762.0,4197098.0
2019-06-24 08:25,10426240.0,,,12281300.0,20921220.0,1977739.0,86987.0,15460.0,217370.0,143980.0,9807020.0,1283910.0,122410.0,3051741.0,,4836204.7,23480.0,514760.0,152520.0,2215780.0,,4154250.0,438762.0,4197098.0
2019-06-24 08:26,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:28,,,,,,,,,,,,,,,,,,,,,344800.0,,,
2019-06-24 08:30,,,,12281400.0,20921260.0,1977747.0,86987.0,15460.0,217370.0,143980.0,9807040.0,1283910.0,,,,4836204.7,23480.0,514770.0,152520.0,2215780.0,,,,
2019-06-24 08:31,,,,,,,,,,,,,,,,,,,,,344800.0,4154260.0,438762.0,4197098.0
2019-06-24 08:33,10426260.0,,,,,,,,,,,,122410.0,3051852.0,,,,,,,,,,
2019-06-24 08:35,10426270.0,,,12281400.0,20921260.0,1977756.0,86987.0,,,,,1283910.0,122410.0,3051879.0,,4836204.7,23480.0,514770.0,152520.0,2215790.0,344800.0,4154320.0,438762.0,4197098.0
2019-06-24 08:37,,,,,,,,15460.0,217370.0,143980.0,9807040.0,,,,,,,,,,,,,
2019-06-24 08:38,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:40,10426290.0,,,12281400.0,20921300.0,1977764.0,86987.0,15460.0,217370.0,143980.0,9807040.0,1283910.0,122410.0,3051948.0,,4836204.7,23480.0,514770.0,152520.0,2215800.0,344800.0,4154320.0,438762.0,4197098.0
2019-06-24 08:42,,,,,,,,,,,,,,,1671470.0,,,,,,,,,
2019-06-24 08:45,,,,12281500.0,20921350.0,1977773.0,86987.0,15460.0,217370.0,143980.0,9807040.0,1283910.0,122410.0,3052020.0,,4836204.7,23480.0,,152520.0,2215800.0,,,,
2019-06-24 08:46,10426300.0,,,,,,,,,,,,,,1671470.0,,,514770.0,,,344800.0,4154390.0,,
2019-06-24 08:50,10426310.0,,,12281500.0,20921350.0,1977782.0,86987.0,15460.0,217380.0,143980.0,9807040.0,1283920.0,122410.0,3052089.0,,4836204.7,23480.0,,152520.0,2215800.0,,4154400.0,,
2019-06-24 08:51,,,,,,,,,,,,,,,,,,,,,344800.0,,,
2019-06-24 08:52,,,,,,,,,,,,,,,,,,,,,,,438762.0,4197098.0
